Restaurant,Address,Question
Comal,"2020 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have a drive-through?
Great China,"2190 Bancroft Way, Berkeley, CA 94704",Does this restaurant serve breakfast?
Gather,"2200 Oxford St, Berkeley, CA 94704",Does this restaurant serve Chinese food?
Cheese Board Pizza,"1512 Shattuck Ave, Berkeley, CA 94709",Does this restaurant have its own website?
FIVE,"2086 Allston Way, Berkeley, CA 94704",Does this restaurant have drinks for those under 21?
Gather,"2200 Oxford St, Berkeley, CA 94704",Does this restaurant serve breakfast?
Great China,"2190 Bancroft Way, Berkeley, CA 94704",Does this restaurant have a drive-through?
Angeline's Louisiana Kitchen,"2261 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have a romantic atmosphere?
Urbann Turbann,"1870 Euclid Ave, Berkeley, CA 94704",Does this restaurant have a drive-through?
Angeline's Louisiana Kitchen,"2261 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have drinks for those under 21?
La Note Restaurant Provencal,"2377 Shattuck Ave, Berkeley, CA 94704",Would a typical meal at this restaurant cost more than $30?
Brazil Cafe,"1960 University Ave, Berkeley, CA 94704",Does this restaurant have a parking lot?
Ajanta,"1888 Solano Ave, Berkeley, CA 94707",Does this restaurant have its own website?
Ajanta,"1888 Solano Ave, Berkeley, CA 94707",Does this restaurant serve Chinese food?
Bette's Oceanview Diner,"1807 Fourth St, Berkeley, CA 94710",Does this restaurant serve Chinese food?
Rivoli,"3101 Solano Ave, Berkeley, CA 94705",Does this restaurant serve breakfast?
Oliveto Restaurant,"5655 College Ave, Oakland, CA 94618",Does this restaurant serve Chinese food?
Rivoli,"3101 Solano Ave, Berkeley, CA 94705",Does this restaurant have its own website?
Gather,"2200 Oxford St, Berkeley, CA 94704",Does this restaurant have a parking lot?
Bette's Oceanview Diner,"1807 Fourth St, Berkeley, CA 94710",Does this restaurant have a romantic atmosphere?
Ajanta,"1888 Solano Ave, Berkeley, CA 94707",Is this restaurant open until midnight?
Rivoli,"3101 Solano Ave, Berkeley, CA 94705",Does this restaurant serve Chinese food?
Platano,"2042 University Ave, Berkeley, CA 94704",Does this restaurant have a romantic atmosphere?
Great China,"2190 Bancroft Way, Berkeley, CA 94704",Does this restaurant have more than 20 items on its menu?
Comal,"2020 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have more than 20 items on its menu?
Great China,"2190 Bancroft Way, Berkeley, CA 94704",Does this restaurant have its own website?
Brazil Cafe,"1960 University Ave, Berkeley, CA 94704",Does this restaurant serve breakfast?
Rivoli,"3101 Solano Ave, Berkeley, CA 94705",Does this restaurant have drinks for those under 21?
Urbann Turbann,"1870 Euclid Ave, Berkeley, CA 94704",Does this restaurant have its own website?
Vik's Chaat and Market,"2390 Fourth St, Berkeley, CA 94710",Does this restaurant have drinks for those under 21?
Vik's Chaat and Market,"2390 Fourth St, Berkeley, CA 94710",Does this restaurant have a romantic atmosphere?
Platano,"2042 University Ave, Berkeley, CA 94704",Does this restaurant have a parking lot?
